Page,Key / Context,English,Polish
Travel,By Train — body,"Italy has a fantastic high-speed train system across the country. You can use Google Maps to plan out your route based on where you fly in.","Włochy mają fantastyczną sieć szybkich pociągów w całym kraju. Możesz użyć Google Maps, aby zaplanować trasę w zależności od lotniska przylotu."
Travel,By Train — Siena transfer notice,"If you plan to train into Siena, we will be offering a group transfer from Siena to the estate at 2 PM on Wednesday, September 16th. To reserve your spot, please let Nicole or Tyler know by August 1st—after that, transfers will need to be arranged independently.","Jeśli planujesz dotrzeć pociągiem do Sieny, oferujemy grupowy transfer z Sieny do posiadłości o godz. 14:00 w środę, 16 września. Aby zarezerwować miejsce, skontaktuj się z Nicole lub Tylerem do 1 sierpnia—po tym terminie transfery będą musiały być zorganizowane samodzielnie."
Travel,By Car — title,By Car,Samochodem
Travel,By Car — subtitle,DRIVERS & CAR RENTALS,WYNAJEM SAMOCHODÓW I KIEROWCY
Travel,By Car — body,"While you will not need a car for the 3 days of wedding events on the estate, renting a car is highly recommended if you plan to extend your trip or be able to explore freely. Note that Italy has ZTL zones in most historic city centers which are restricted areas cameras enforce automatically with steep fines. Navigation apps like Waze will help you avoid them. When in doubt, park outside the city walls and walk in.","Chociaż samochód nie jest niezbędny na 3 dni uroczystości na terenie posiadłości, wynajem samochodu jest wysoce zalecany, jeśli planujesz przedłużyć pobyt lub swobodnie zwiedzać okolicę. Pamiętaj, że Włochy mają strefy ZTL w większości historycznych centrów miast — obszary z ograniczonym dostępem, egzekwowane automatycznie przez kamery z wysokimi mandatami. Aplikacje nawigacyjne jak Waze pomogą Ci ich uniknąć. W razie wątpliwości parkuj poza murami miasta i wejdź pieszo."
Our Story,Eyebrow,December 2016 — September 2026,Grudzień 2016 — Wrzesień 2026
Our Story,Main headline,The long way here.,Nasza długa droga tutaj.
Our Story,Footer eyebrow,September · Tuscany · 2026,Wrzesień · Toskania · 2026
Our Story,Footer headline,"Next up, you!",Teraz czas na Was!
Our Story,Footer body,"Everyone we love, in the most beautiful country in the world.","Wszyscy, których kochamy, w najpiękniejszym kraju na świecie."
Our Story,Footer close,See you in Tuscany.,Do zobaczenia w Toskanii.
Our Story — 2016 Dec,Month,December,Grudzień
Our Story — 2016 Dec,Place,New York,Nowy Jork
Our Story — 2016 Dec,Story blurb,"Met, talked all night, told our parents we'd get married. When you know, you know.","Poznaliśmy się, rozmawialiśmy całą noc, powiedzieliśmy rodzicom, że się pobierzemy. Gdy wiesz, to wiesz."
Our Story — 2016 Dec,Disclaimer,"(Tyler didn't want to include this iconic tweet so here's a disclaimer: He no longer talks like this nor does he typically drink for 7 days nonstop.)","(Tyler nie chciał zamieszczać tego słynnego tweeta, więc oto zastrzeżenie: Nie mówi już w ten sposób i zazwyczaj nie pije przez 7 dni z rzędu.)"
Our Story — 2017 Spring,Month,Spring,Wiosna
Our Story — 2017 Spring,Place,South Carolina,Karolina Południowa
Our Story — 2017 Spring,Story blurb,"Suddenly, monthly flights. One weekend visit and we couldn't stop planning the next. Nicole was in school in South Carolina and Tyler was stationed at a Kansas AirForce base but distance couldn't stop this connection.","Nagle miesięczne loty. Jeden weekendowy wypad i nie mogliśmy przestać planować kolejnego. Nicole studiowała w Karolinie Południowej, a Tyler stacjonował w bazie lotniczej w Kansas — ale odległość nie była w stanie zatrzymać tego połączenia."
Our Story — 2017 Autumn,Month,Autumn,Jesień
Our Story — 2017 Autumn,Place,Italy,Włochy
Our Story — 2017 Autumn,Story blurb,"Nicole suggested a break but left a letter for each day she'd be gone during her semester abroad. Tyler agreed to break up but bought a flight to visit 3 weeks in. Neither of us were good at this.","Nicole zaproponowała przerwę, ale zostawiła list na każdy dzień swojej nieobecności. Tyler zgodził się na rozstanie, ale kupił bilet i odwiedził ją 3 tygodnie później. Żadne z nas nie było dobre w tej zabawie."
Our Story — 2018 May,Month,May,Maj
Our Story — 2018 May,Place,Kansas,Kansas
Our Story — 2018 May,Story blurb,"Went to ""just look"" at shelter cats. Welcome Purrcocet!","Poszliśmy „tylko popatrzeć" na schroniskowe koty. Witaj, Purrcocet!"
Our Story — 2019 Nov,Month,November,Listopad
Our Story — 2019 Nov,Place,Kansas,Kansas
Our Story — 2019 Nov,Story blurb,"Tyler who was ""not a cat person"" just had to go back to the shelter to look at cats because Nicole stole Purrc. Welcome Mango!","Tyler, który „nie był kocim człowiekiem", musiał wrócić do schroniska, bo Nicole ukradła Purrc. Witaj, Mango!"
Our Story — 2020 Feb,Month,February,Luty
Our Story — 2020 Feb,Place,Kansas,Kansas
Our Story — 2020 Feb,Story blurb,"Just us and really only us because there was a pandemic. First place together. Three weeks in: lockdown. We survived.","Tylko my i naprawdę tylko my, bo była pandemia. Pierwsze wspólne mieszkanie. Trzy tygodnie później: lockdown. Przeżyliśmy."
Our Story — 2021 March,Month,March,Marzec
Our Story — 2021 March,Place,Kansas,Kansas
Our Story — 2021 March,Story blurb,"Somehow, homeowners. Still not sure how this happened.","Jakoś staliśmy się właścicielami domu. Nadal nie wiemy, jak to się stało."
Our Story — 2022 Summer,Month,Summer,Lato
Our Story — 2022 Summer,Place,Connecticut,Connecticut
Our Story — 2022 Summer,Story blurb,"Temporarily moved to the east coast to be near family. Still in Stamford. Whoops.","Tymczasowo przenieśliśmy się na wschodnie wybrzeże, żeby być bliżej rodziny. Nadal jesteśmy w Stamford. Ups."
Our Story — 2024 July,Month,July,Lipiec
Our Story — 2024 July,Place,Poland,Polska
Our Story — 2024 July,Story blurb [⚠️ PL MISSING FIRST SENTENCE],"Family trip to Poland for Babcia's birthday. Babcia pulled Tyler aside and gave him exactly one year to propose. We had already discussed getting married soon.. but if Babcia asks, it was entirely her idea.","[Missing: no mention of family trip / Babcia's birthday] Babcia wzięła Tylera na bok i dała mu dokładnie rok na oświadczyny. Wcześniej rozmawialiśmy już o ślubie — ale jeśli Babcia pyta, to był wyłącznie jej pomysł."
Our Story — 2025 May,Month,May,Maj
Our Story — 2025 May,Place,Amelia Island,Amelia Island
Our Story — 2025 May,Story blurb,"Tyler filled the patio with photos of us from over the years. His phone ran out of storage right as Nicole walked out so no one will ever really know what was said. But what we can share is: she did say yes.","Tyler wypełnił taras naszymi zdjęciami. Jego telefon skończył pamięć dokładnie w chwili, gdy Nicole wychodziła, więc nikt naprawdę nie wie, co zostało powiedziane. Ale możemy zdradzić: powiedziała tak."
Local Guide,Page heading,Local Guide,Przewodnik
Local Guide,Intro,"Extending your trip? Here are some of our favorite Tuscan highlights near the venue.","Przedłużasz pobyt? Oto nasze ulubione miejsca w Toskanii w pobliżu posiadłości."
Local Guide,Nav → Travel,Travel →,Podróż →
Local Guide,Nav → RSVP,RSVP →,RSVP →
Local Guide — Thermal,Title,Rapolano Thermal Baths,Termy Rapolano
Local Guide — Thermal,Subtitle,5 Minutes Away,5 minut drogi
Local Guide — Thermal,Body,"Rapolano Terme is famous for its natural hot springs. Terme San Giovanni and Antica Querciolaia are just minutes from the venue, featuring travertine pools filled with naturally warm thermal water. Go in the evening to see the pools when they are illuminated under the Tuscan sky.","Rapolano Terme słynie z naturalnych gorących źródeł. Terme San Giovanni i Antica Querciolaia są zaledwie kilka minut od posiadłości — z basenami trawertynowymi wypełnionymi naturalnie ciepłą wodą termalną. Wybierz się wieczorem, aby zobaczyć baseny oświetlone pod toskańskim niebem."
Local Guide — Siena,Title,Siena,Siena
Local Guide — Siena,Subtitle,20 Minutes Away,20 minut drogi
Local Guide — Siena,Body,"One of Italy's best-preserved medieval cities. Wander the Piazza del Campo, climb Torre del Mangia if you're up for it, and visit the Duomo before grabbing a gelato on the way out. Park outside the city walls as the historic center is car-free. We've always gotten lucky with free parking here.","Jedno z najlepiej zachowanych średniowiecznych miast Włoch. Przejdź się po Piazza del Campo, wdrap się na Torre del Mangia, odwiedź katedrę i zjedz lody w drodze powrotnej. Parkuj poza murami, bo historyczne centrum jest zamknięte dla samochodów. My zawsze mamy szczęście z darmowym parkingiem tutaj."
Local Guide — Siena,Fun fact,"Fun fact: Siena is divided into 17 medieval neighborhoods called contrade, each with its own animal symbol and fierce rivalry during the Palio horse race, held in Piazza del Campo since 1482.","Ciekawostka: Siena jest podzielona na 17 średniowiecznych dzielnic zwanych contrade, każda z własnym symbolem zwierzęcia i zaciętą rywalizacją podczas wyścigu konnego Palio na Piazza del Campo, odbywającego się od 1482 roku."
Local Guide — Val d'Orcia,Title,Val d'Orcia & Pienza,Val d'Orcia & Pienza
Local Guide — Val d'Orcia,Subtitle,45 Minutes Away,45 minut drogi
Local Guide — Val d'Orcia,Body,"A Renaissance town perched above some of the most photographed landscape in Tuscany. Famous for its pecorino cheese—stop at La Taverna del Pecorino for a tasting and stay for the views.","Renesansowe miasto na wzgórzu z widokiem na jedne z najbardziej fotografowanych krajobrazów Toskanii. Słynie z sera pecorino — zatrzymaj się w La Taverna del Pecorino na degustację i zostań dla widoków."
Local Guide — Val d'Orcia,Fun fact,"Fun fact: a scene from Gladiator was filmed just outside Pienza. Search ""Gladiator scene"" on Google Maps to find the exact spot.","Ciekawostka: scena z Gladiatora była kręcona tuż poza Pienzą. Wyszukaj ""Gladiator scene"" na Google Maps, aby znaleźć dokładne miejsce."
Local Guide — Chianti,Title,Chianti & Montepulciano,Chianti & Montepulciano
Local Guide — Chianti,Subtitle,45 Minutes Away,45 minut drogi
Local Guide — Chianti,Body,"Head north into the Chianti Classico region for world-class wine tastings among the vines, or south to Montepulciano to taste their famous Vino Nobile.","Jedź na północ w rejon Chianti Classico na degustacje światowej klasy win wśród winorośli, lub na południe do Montepulciano, aby skosztować słynnego Vino Nobile."
Local Guide — Chianti,Winery note,"Winery recommendations: Avignonesi, Contucci, Argiano, Castiglion del Bosco","Polecane winnice: Avignonesi, Contucci, Argiano, Castiglion del Bosco"
Local Guide — Montalcino,Title,Montalcino,Montalcino
Local Guide — Montalcino,Subtitle,1 Hour Away,1 godzina drogi
Local Guide — Montalcino,Body,"Home to Brunello di Montalcino, one of Italy's most celebrated wines. Walk the fortress walls, go wine tasting, and be sure to pick up some local chestnut honey before you leave.","Ojczyzna Brunello di Montalcino — jednego z najbardziej cenionych win Włoch. Spaceruj po murach twierdzy, degustuj wina i koniecznie kup lokalny miód kasztanowy przed wyjazdem."
Local Guide — Montalcino,Winery note,"Winery recommendations: Corte Pavone, Podere Le Ripi, Castello Banfi","Polecane winnice: Corte Pavone, Podere Le Ripi, Castello Banfi"
Accommodations,Page heading,The Borgo Laticastelli Experience,Doświadczenie Borgo Laticastelli
Accommodations,Intro — meals included,"We have reserved the entire Borgo Laticastelli estate exclusively for our guests. If you are staying on site with us, we are covering all your meals and drinks for all 3 days—don't worry about spending any additional money once you arrive.","Zarezerwowaliśmy całą posiadłość Borgo Laticastelli wyłącznie dla naszych gości. Jeśli będziesz mieszkać z nami na miejscu, pokrywamy wszystkie Twoje posiłki i napoje przez całe 3 dni — nie martw się o dodatkowe wydatki po przyjeździe."
Accommodations,Intro — first come,"Please review the available rooms below and claim your space. Rooms are available on a first-come, first-served basis. Please note that a room is not reserved until the payment is received.","Zapoznaj się z dostępnymi pokojami poniżej i zarezerwuj swoje miejsce. Pokoje są dostępne na zasadzie pierwszeństwa zgłoszeń. Pamiętaj, że pokój jest zarezerwowany dopiero po otrzymaniu płatności."
Accommodations,Loading,Loading rooms...,Ładowanie pokoi...
Accommodations,Sold out label,Sold Out,Wyprzedane
Accommodations,Availability — N left,N left,pozostało N
Accommodations,Select button,Select This Room,Wybierz ten pokój
Accommodations,Dialog title,Reserve [Room Name],Zarezerwuj [Room Name]
Accommodations,Guest names label,Names of All Guests in This Room,Imiona wszystkich gości w pokoju
Accommodations,Guest names placeholder,"First & Last Name of each guest, one per line","Imię i Nazwisko każdego gościa, jedno na linię"
Accommodations,Email label,Email Address,Adres e-mail
Accommodations,Email placeholder,your@email.com,twoj@email.com
Accommodations,Submitting state,Reserving...,Rezerwowanie...
Accommodations,Claim button,Claim This Room,Zarezerwuj ten pokój
Accommodations,Capacity — 1 guest,1 Guest (Individual Bed),1 gość (osobne łóżko)
Accommodations,Capacity — 2 guests,Sleeps 2 Guests,Dla 2 gości
Accommodations,Capacity — 3 guests,Sleeps up to 3 Guests,Dla maksymalnie 3 gości
Accommodations,Capacity — N guests,Sleeps up to N Guests,Dla maksymalnie N gości
Accommodations,Error — fill all,Please fill in all fields,Proszę wypełnić wszystkie pola
Accommodations,Error — sold out,This room type just sold out. Please select another.,Ten typ pokoju właśnie się wyprzedał. Wybierz inny.
Accommodations,Error — generic,Something went wrong. Please try again.,Coś poszło nie tak. Spróbuj ponownie.
RSVP Page,Page heading,Accommodations & RSVP,Zakwaterowanie i RSVP
RSVP Page,Intro — meals included,"We have exclusively reserved all of Borgo Laticastelli for our guests. For guests staying onsite, breakfast, dinners, and drinks at all events are included in your stay.","Zarezerwowaliśmy całą posiadłość Borgo Laticastelli wyłącznie dla naszych gości. Dla gości nocujących na miejscu śniadania, kolacje i napoje na wszystkich imprezach są wliczone w cenę."
RSVP Page,Intro — get started,"To get started, select your room below or let us know you'll be staying offsite.","Aby rozpocząć, wybierz pokój poniżej lub daj nam znać, że będziesz nocować poza posiadłością."
RSVP Page,Intro — price note,Prices are per room for the entire three-night stay (September 16–19).,Ceny dotyczą całego pokoju na cały pobyt trzydniowy (16–19 września).
RSVP Page,First-come note,"Rooms are available on a first-come, first-served basis. Reservations not paid within 48 hours will be released.","Pokoje dostępne są na zasadzie pierwszeństwa zgłoszeń. Rezerwacje nieopłacone w ciągu 48 godzin zostaną anulowane."
RSVP Page,Skip to RSVP link,Not able to make it? Skip right to the RSVP >,Nie możesz przyjechać? Przejdź od razu do RSVP >
RSVP Page,Skip to payment link,Already RSVP'd and picked a room? Skip right to the payment >,Już wypełniłeś/aś RSVP i wybrałeś/aś pokój? Przejdź od razu do płatności >
RSVP Page,Thank you heading,Thank You,Dziękujemy
RSVP Page,Onsite — exclamation,We can't wait to celebrate with you in Tuscany!,Nie możemy się doczekać świętowania razem z Wami w Toskanii!
RSVP Page,Onsite — room on hold,"Your room is officially on hold. To secure your spot, please send payment below via PayPal Friends & Family to @NylerWedding within 48 hours. In the payment note, include the names of all guests staying in your room.","Twój pokój jest oficjalnie zarezerwowany. Aby potwierdzić rezerwację, prześlij płatność poniżej przez PayPal Friends & Family na @NylerWedding w ciągu 48 godzin. W notatce do płatności podaj imiona i nazwiska wszystkich gości w Twoim pokoju."
RSVP Page,Onsite — Venmo line,"You can also pay via Venmo to @tylermagee.","Możesz też zapłacić przez Venmo na @tylermagee."
RSVP Page,Joining room — P2,"You're all set—we've noted that you'll be joining a reserved room. No payment is needed from you; the room holder will take care of it.","Wszystko gotowe — odnotowaliśmy, że dołączysz do zarezerwowanego pokoju. Nie musisz dokonywać płatności; zajmie się tym właściciel rezerwacji."
RSVP Page,Offsite — P2,"You're all set—we've noted that you'll be joining us offsite. We're so glad you're making the trip and can't wait to see you there.","Wszystko gotowe — odnotowaliśmy, że będziesz nocować poza posiadłością. Bardzo się cieszymy, że przyjeżdżasz, i nie możemy się doczekać spotkania!"
RSVP Page,Declined — P1,"Thank you so much for letting us know. It truly means a lot that you took the time to respond.","Dziękujemy za odpowiedź. To naprawdę wiele dla nas znaczy, że znalazłeś/aś czas, aby nam odpisać."
RSVP Page,Declined — P2,"You will absolutely be missed! We hope to celebrate with you soon, and we'll make sure to share all the photos so you can experience a little bit of Tuscany with us from afar.","Będzie nam Ciebie bardzo brakowało! Mamy nadzieję, że wkrótce będziemy mogli świętować razem, a my na pewno podzielimy się wszystkimi zdjęciami, abyś mógł/mogła doświadczyć odrobiny Toskanii z daleka."
RSVP Page,Declined — close,"With so much love, Nicole & Tyler","Z dużą miłością, Nicole & Tyler"
RSVP Page,Italian close,Ci vediamo in Italia!,Ci vediamo in Italia!
RSVP Page,PayPal button,Pay with PayPal — $[amount],Zapłać przez PayPal — $[amount]
RSVP Page,Venmo button,Pay with Venmo — $[amount],Zapłać przez Venmo — $[amount]
RSVP Form,Section heading,RSVP,RSVP
RSVP Form,Already RSVPd message,"We have received your RSVP, [name]. Thank you!","Otrzymaliśmy Twoje RSVP, [name]. Dziękujemy!"
RSVP Form,Onsite payment nudge,Staying onsite? Complete your room payment below.,Nocujesz na miejscu? Dokonaj płatności za pokój poniżej.
RSVP Form,PayPal button (already RSVPd),Pay with PayPal,Zapłać przez PayPal
RSVP Form,Venmo button (already RSVPd),Pay with Venmo,Zapłać przez Venmo
RSVP Form,Edit RSVP link,Need to edit your RSVP?,Chcesz edytować swoje RSVP?
RSVP Form,Not you link,Not you?,To nie Ty?
RSVP Form,Post-submit heading,Thank You,Dziękujemy
RSVP Form,RSVP recorded line,Your RSVP has been recorded.,Twoje RSVP zostało zarejestrowane.
RSVP Form,Sorry miss,We're sorry we'll miss you!,Szkoda, że Cię nie będzie!
RSVP Form,Can't wait,We can't wait to celebrate with you!,Nie możemy się doczekać świętowania razem z Wami!
RSVP Form,Room not reserved note,Please note: your room is not reserved until payment is received.,Uwaga: pokój jest zarezerwowany dopiero po otrzymaniu płatności.
RSVP Form,Find invitation prompt,Please enter your first and last name to find your invitation.,Wpisz swoje imię i nazwisko, aby znaleźć zaproszenie.
RSVP Form,Name input placeholder,First & Last Name,Imię i Nazwisko
RSVP Form,Search in progress,Searching...,Szukam...
RSVP Form,Find button,Find My Invitation,Znajdź moje zaproszenie
RSVP Form,Welcome greeting,"Welcome, [name]!","Witaj, [name]!"
RSVP Form,Max guests note,You may RSVP for up to N guest(s).,Możesz potwierdzić RSVP dla maksymalnie N gościa/gości.
RSVP Form,Previously RSVPd note,Your party has already been RSVPd — your previous selections are loaded below. Feel free to update them.,Twoja rezerwacja została już wcześniej przesłana — poprzednie wybory są załadowane poniżej. Możesz je zaktualizować.
RSVP Form,Number of guests label,Number of Guests,Liczba gości
RSVP Form,Guest names label (plural),Guest Names,Imię/imiona gości
RSVP Form,Guest name placeholder,Guest N — First & Last Name,Gość N — Imię i Nazwisko
RSVP Form,Accommodations label,On-Site Accommodations,Zakwaterowanie na miejscu
RSVP Form,Accommodation dropdown default,Select an option...,Wybierz opcję...
RSVP Form,Dietary label,Dietary Restrictions,Ograniczenia dietetyczne
RSVP Form,Dietary placeholder,"Allergies, vegetarian, etc.","Alergie, wegetarianin, itp."
RSVP Form,Comments label,Comments,Uwagi
RSVP Form,Comments placeholder,Anything else we should know?,Coś jeszcze, co powinniśmy wiedzieć?
RSVP Form,Email label,Email Address,Adres e-mail
RSVP Form,Email placeholder,So we can send your RSVP receipt,Abyśmy mogli przesłać potwierdzenie RSVP
RSVP Form,Submit in progress,Submitting...,Przesyłam...
RSVP Form,Update RSVP button,Update RSVP,Zaktualizuj RSVP
RSVP Form,Submit RSVP button,Submit RSVP,Wyślij RSVP
RSVP Form,Error — first & last name,Please enter your first and last name,Proszę podać imię i nazwisko
